round,action,optimal_action,reward,cumulative_reward,cumulative_regret
1,0,2,0,0,0.5176372110128351
2,1,2,0,0,1.0855437168284179
3,2,2,1,1,1.0855437168284179
4,2,2,1,2,1.0855437168284179
5,2,2,1,3,1.0855437168284179
6,2,2,0,3,1.0855437168284179
7,2,2,0,3,1.0855437168284179
8,0,2,0,3,1.578272788872023
9,1,2,0,3,2.22115971435236
10,2,2,1,4,2.22115971435236
11,2,2,1,5,2.22115971435236
12,2,2,0,5,2.22115971435236
13,2,2,0,5,2.22115971435236
14,0,2,0,5,2.7215099449502778
15,1,2,0,5,3.3227922060076702
16,2,2,0,5,3.3227922060076702
17,2,2,0,5,3.3227922060076702
18,0,2,0,5,3.9045721092802315
19,1,2,0,5,4.509330916712874
20,2,2,1,6,4.509330916712874
21,2,2,1,7,4.509330916712874
22,2,2,1,8,4.509330916712874
23,2,2,1,9,4.509330916712874
24,2,2,1,10,4.509330916712874
25,2,2,1,11,4.509330916712874
26,2,2,1,12,4.509330916712874
27,2,2,1,13,4.509330916712874
28,2,2,1,14,4.509330916712874
29,2,2,1,15,4.509330916712874
30,2,2,1,16,4.509330916712874
31,2,2,1,17,4.509330916712874
32,2,2,1,18,4.509330916712874
33,2,2,1,19,4.509330916712874
34,2,2,1,20,4.509330916712874
35,2,2,0,20,4.509330916712874
36,2,2,0,20,4.509330916712874
37,0,2,0,20,4.951294323298363
38,1,2,0,20,5.620047154765005
39,2,2,0,20,5.620047154765005
40,2,2,1,21,5.620047154765005
41,2,2,0,21,5.620047154765005
42,2,2,1,22,5.620047154765005
43,2,2,0,22,5.620047154765005
44,0,2,0,22,6.109969812855868
45,1,2,0,22,6.678307282514579
46,2,2,0,22,6.678307282514579
47,2,2,1,23,6.678307282514579
48,2,2,1,24,6.678307282514579
49,2,2,1,25,6.678307282514579
50,2,2,1,26,6.678307282514579
51,2,2,0,26,6.678307282514579
52,2,2,1,27,6.678307282514579
53,2,2,1,28,6.678307282514579
54,2,2,1,29,6.678307282514579
55,0,2,0,29,7.25577846707171
56,2,2,1,30,7.25577846707171
57,1,2,0,30,7.963347517984545
58,2,2,1,31,7.963347517984545
59,2,2,0,31,7.963347517984545
60,2,2,1,32,7.963347517984545
61,2,2,1,33,7.963347517984545
62,2,2,1,34,7.963347517984545
63,2,2,1,35,7.963347517984545
64,2,2,1,36,7.963347517984545
65,2,2,1,37,7.963347517984545
66,2,2,1,38,7.963347517984545
67,2,2,1,39,7.963347517984545
68,2,2,1,40,7.963347517984545
69,2,2,1,41,7.963347517984545
70,0,2,0,41,8.515726529218234
71,2,2,1,42,8.515726529218234
72,1,2,0,42,9.157789369881765
73,2,2,1,43,9.157789369881765
74,2,2,1,44,9.157789369881765
75,2,2,1,45,9.157789369881765
76,2,2,1,46,9.157789369881765
77,2,2,1,47,9.157789369881765
78,2,2,1,48,9.157789369881765
79,2,2,1,49,9.157789369881765
80,2,2,0,49,9.157789369881765
81,2,2,1,50,9.157789369881765
82,2,2,1,51,9.157789369881765
83,0,2,1,52,9.617659626230532
84,0,2,0,52,10.01970867550241
85,2,2,1,53,10.01970867550241
86,1,2,1,54,10.544044466220654
87,1,2,0,54,11.12981041129608
88,2,2,0,54,11.12981041129608
89,2,2,1,55,11.12981041129608
90,2,2,1,56,11.12981041129608
91,0,2,1,57,11.63774090067414
92,0,2,0,57,12.122927710107225
93,2,2,1,58,12.122927710107225
94,2,2,0,58,12.122927710107225
95,1,2,1,59,12.70808682676164
96,1,2,0,59,13.346790029906012
97,2,2,1,60,13.346790029906012
98,2,2,1,61,13.346790029906012
99,2,2,1,62,13.346790029906012
100,2,2,1,63,13.346790029906012
101,0,2,0,63,13.84754180405382
102,2,2,1,64,13.84754180405382
103,2,2,0,64,13.84754180405382
104,1,2,1,65,14.456394955798897
105,1,2,0,65,15.106917620969702
106,2,2,1,66,15.106917620969702
107,2,2,1,67,15.106917620969702
108,2,2,1,68,15.106917620969702
109,2,2,0,68,15.106917620969702
110,2,2,1,69,15.106917620969702
111,0,2,0,69,15.549937255348617
112,1,2,0,69,16.083285999125113
113,2,2,0,69,16.083285999125113
114,2,2,1,70,16.083285999125113
